Designator,Mid X,Mid Y,Rotation,Layer
BRD1,222.5,-70.5,0.0,top
C1,59.25,-82.25,0.0,top
C10,161.25,-108.75,0.0,top
C11,171.5,-108.75,0.0,top
C12,183.055,-108.25,0.0,top
C13,196.805,-108.25,0.0,top
C14,230.5,-100.75,0.0,top
C15,230.5,-94.0,0.0,top
C16,108.75,-34.5,180.0,top
C17,107.75,-54.5,0.0,top
C18,192.25,-34.5,0.0,top
C19,192.25,-41.62,0.0,top
C2,71.25,-82.25,0.0,top
C20,192.25,-48.74,0.0,top
C21,192.25,-56.25,0.0,top
C22,98.75,-109.75,0.0,top
C23,72.59,-109.5,0.0,top
C24,47.0,-109.25,0.0,top
C25,31.0,-29.5,0.0,top
C3,83.25,-82.25,0.0,top
C4,94.5,-82.25,0.0,top
C5,105.75,-82.25,0.0,top
C6,117.0,-82.25,0.0,top
C7,126.25,-108.75,0.0,top
C8,138.25,-108.75,0.0,top
C9,150.75,-108.75,0.0,top
D1,93.67,-41.25,180.0,top
D2,93.67,-47.5,0.0,top
D3,205.92,-54.0,0.0,top
D4,110.5,-109.75,0.0,top
D5,84.42,-109.5,0.0,top
D6,59.33,-109.25,0.0,top
J1,229.75,-42.5,180.0,top
J2,28.25,-49.27,0.0,top
J3,28.25,-73.045,0.0,top
L1,155.0625,-44.25,90.0,top
Q1,123.73,-53.89,0.0,top
Q2,123.66,-34.0,0.0,top
R1,44.0,-82.25,0.0,top
R10,125.75,-61.5,0.0,top
R11,141.5,-61.5,0.0,top
R12,129.0,-68.75,0.0,top
R13,129.0,-74.75,0.0,top
R14,132.0,-87.5,0.0,top
R15,148.75,-87.5,0.0,top
R16,165.0,-87.5,0.0,top
R17,165.0,-94.0,0.0,top
R18,165.0,-100.5,0.0,top
R19,181.5,-87.5,0.0,top
R2,44.0,-61.5,0.0,top
R20,197.5,-87.5,0.0,top
R21,213.25,-87.5,0.0,top
R22,203.5,-93.75,0.0,top
R23,203.25,-100.25,0.0,top
R24,229.0,-87.5,0.0,top
R25,228.25,-108.25,0.0,top
R26,212.0,-108.25,0.0,top
R27,77.25,-34.25,0.0,top
R28,94.0,-34.25,0.0,top
R29,93.0,-54.5,0.0,top
R3,76.5,-61.5,0.0,top
R30,76.75,-54.5,0.0,top
R31,206.5,-41.0,0.0,top
R32,206.5,-48.25,0.0,top
R33,179.5,-63.25,0.0,top
R34,179.5,-69.25,0.0,top
R35,45.0,-96.75,270.0,top
R36,60.25,-61.5,0.0,top
R4,44.5,-34.25,0.0,top
R5,60.75,-34.25,0.0,top
R6,44.0,-54.5,0.0,top
R7,60.25,-54.5,0.0,top
R8,93.5,-61.5,0.0,top
R9,109.75,-61.5,0.0,top
RV1,65.5,-96.75,0.0,top
RV2,88.5,-96.75,0.0,top
RV3,111.5,-97.0,0.0,top
S1,31.5,-97.5,0.0,top
U1,44.455,-71.75,0.0,top
U10,189.0,-97.25,0.0,top
U11,218.5,-97.25,0.0,top
U12,72.25,-44.25,0.0,top
U2,58.25,-71.5,0.0,top
U3,72.325,-71.55,0.0,top
U4,44.705,-44.22,0.0,top
U5,58.455,-44.22,0.0,top
U6,98.705,-71.47,0.0,top
U7,113.75,-71.5,0.0,top
U8,133.725,-97.22,0.0,top
U9,149.0,-97.22,0.0,top
